text,inappropriate
rt @user ai gente minha hora vai chegar se deus quiser https://t.co/dq05wnemvf,0
@user #correverdevaldo que a pf tá na porta 😂🇧🇷👍🏽,0
"alguém: van gogh

eu:",0
"#STFVergonhaNacional

COMPARTILHEM...DIVULGUEM.
LEI ANTI CRIMES JÁ.
LAVA TOGA JÁ.
REFORMA TRIBUTÁRIA JÁ.

CHEGA DE CORRUPÇÃO.
CHEGA DE ROUBALHEIRAS.

FORA TOFFOLI
FORA GILMAR MENDES
FORA ALEXANDRE DE MORAES
FORA LEWANDOWSKI
FORA MARCO AURÉLIO
FORA CELSO DE MELLO
FORA ROSA WEBER https://t.co/mgWAgPjSH6",0
@user nossa mano te odeio na moral kkkkkkkkkkkkkkkkkkk,1
minha nossa e não é que eu chorei msm lendo isso,0
@user jorge em 5°??? manual nada dessa porra...,1
"e ligam pra avisar que vao passar aqui a tarde, entao me avisa a tarde porra",1
"pras pessoas que nunca experimentaram comida japonesa:

não experimentem 
é sério
sa porra é viciante e cara pra caralho",1
"a menina só escolheu o teló pq ficou com pena, tenho ctz kkkk",0
@user infelizmente é a nossa realidade,0
"rt @user consideração aqui é conforme for recebida, caso o contrário faço o dobro que fizer comigo!
bom dia a todos.",0
"@user humanos: *comem peixe tbm*
humanos:
tartaruga: *come peixe pq é da natureza dela*
humanos: PQP MANO QUE MONSTRUOSIDADE NÃO VOU CONSEGUIR DORMIR HOJE PQP OLHA OUTRO VÍDEO PRA LIVRAR SUA MENTE DESSE PESADELO",1
wel wel wel novinha o pau de selfie do berti esta com mel https://t.co/gyo09qxlno,0
feliz aniversário sérgio moro https://t.co/pdfg19hdha,0
@user acho válido. pode ser pera tbm. já q são tudo criado por vó a leite ninho e pera. vão tá acostumados,0
"rt @user vai tomar no cu não consigo ver vídeo de jogo que tem jump scare, mesmo sabendo que vai dar susto, eu quase morro",1
to ficando puto com essas atitudes já nmrl,1
vagabundo é vagabundo,1
"@user @user @user @user Entendi, pois é, ele geralmente notifica uma nova atualização, mas como pessoa comentou que o tamanho da Demo aumento, pensei que poderia ter ocorrido de forma que não notificasse.",0
"@user @user não sei, mas estou fazendo. tudo para tirar essa sensação.",0
rt @user ridículo abrir mão da libertadores! @user já passou da hora de assumir o time sozinho.,1
"@user tens de continuar, eu pratico ginásio à uns 3 anos e contino-o o mesmo pau de virar tripas xddd",1
rt @user ou vc bota pra fuder ou quem se fode é vc,1
o jean willis comendo brigadeiro na panela com a colher de pau auge,0
porra q ressaca,1
rt @user flyer da resenha do dopa ficou nojento 🤮,1
vo tomar banho pq to loko ainda meu carai,1
"Equilíbrio nas formas 
.
.
.
.
.
.
.
#cobrire #pergolado #pergola #pergolados #pergolas #pergoladodemadeira

 Publicamos somente fotos autorais... preferimos contar a nossa história, não a dos outros.
.
Foto by @user https://t.co/cRuKtTmpu5",0
rt @user nem pra eu mudar um pouquinho pô 🥵 https://t.co/jyvqj9xzis,0
"rt @user @user doria = pt na cor azul. não se enganem!!!
canalha igual todos do psdb que usurparam do poder para se enriqu…",1
@user kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk vsf mt bom,1
"@user Fez empréstimo para estrada e fez mansão, pegou e não pagou, quer o que ? Enquanto não pago o que devo, ninguem me dar credito. Porque só os santos do PT podem dar calote e ter o direito de caloterar de novo?",1
"ok última vez q eu mendigo um cu
se n eu só vou desistir mesmo é isto https://t.co/2oeylcp3t0",1
"QUERIDO DIÁRIO... comecei a ler polemic agora e estou com raiva do pai do Jungkook, ele é chato pra caraLHO, velhote nojento, homofóbico... devo mudar esse sentimento ruim ou ele vai mudar?

#RebulicoQuente
https://t.co/TEe8OGou9R",1
rt @user nenhum ap por 50 pila o aluguel  toma no cu essas imobiliária tóxica do crl,1
"Corinthians x Palmeiras em Brasileiros, desde 1971: 
51 jogos
17 vitórias do Corinthians
17 empates
17 vitórias do Palmeiras

- Últimos 9 jogos no geral (7 vitórias do Corinthians, 2 vitórias do Palmeiras)
- Fábio Carille contra o Palmeiras (8 jogos, 7 vitórias, 1 derrota)",0
a jen mostrando a linguinha af garota toxica do caralho me fazendo sofrer,1
"rt @user #qualopapo podia ser domingo agora, sem neurose maior ansiedade rs",0
desse jeito eu não vou fazer nada,0
"Os ditadores do STF estão desesperados. Perderam todo o pudor. Que se cala agora é conivente. Vejam os que se duziam ze direita e hoje se calam. De que lado estes estão? DEM, PSDB E MBDB.
#STFVergonhaNacional 
#DitaduraDoSTF",0
tmnc ódio é  lixo 😡😡😡,1
@user falou minha língua 👏🏻👏🏻👏🏻,0
"Atenção... Vc pode gritar 

LULA LIVRE! 

E achar que ele não é inocente. Pois o que se vê através do que foi descoberto é uma terrível armação para condená-lo. 

Continua... https://t.co/Cyw7biSKtI",0
"@user Não existe corpo perfeito, quem definiu que isso é bonito? Você é bonita do seu jeito e isso basta.
Outra coisa é você querer ser assim.",0
"finalmente né porra 
#voleinaglobo",1
"sai antes do trab pra pegar o ônibus e ele n aparece, pagando pra passar frio aq",0
"@user @user Mas ele não é menos amado! Lu, tu consegue ser um pé no saco com quem não vai com sua cara skskskaksks
Vamos fazer isso com os inimigos",1
@user @user método photoshop de mudar a cor da camisa sem mudar a camisa,0
"rt @user por favor cliquem no link abaixo! é muito, muito importante! demasiado importante!:
.
.
.
.
.
.
.
.
.
.
https://t.co/ewjmbr…",0
@user só dia 6 que o meu caaai se não era na hora tbm,0
"@user o bom é que esse tweet é universal, vale pra todos. concordo com vc tiago!",0
"[2/8 15:28] Racquel: Zika KKKKKKK
[2/8 15:28] Racquel: E os trabalhos ? Fez algum ?
[2/8 15:29] Marcela ♡: Não tenho nem foto sei nem que que é pra fazer
[2/8 15:29] Racquel: Vamos começar o bimestre muito bem

KKKKKKKKKKKKKK vai dar ruim",0
rt @user sabe mentir cara a cara kkk se precisar até chora https://t.co/nuqyzcsrr8,1
cu bem exagerado tu 😂,1
"burra e idiota, caralho como pode",1
tava perfeito até a parte que ele arranca o coração do cara https://t.co/mdozoxjux0,0
pqp eu amo vôlei demais vamos pra tóquio porra,1
rt @user se eu pudesse iria todo dia p ver o pôr do sol https://t.co/jxxpl5jxqt,0
"Ninguém está de bem com a vida. Todos nós temos jardins secretos e plantações infrutíferas. Demonstramos um estado de felicidade, porque a felicidade é um ideal que o animal moderno inventou para suportar o peso da sua própria existência.",0
"@user que trem limpo, com certeza não é no rio de janeiro hahaha",1
"meu quarto está geladao então está gelando a casa toda, porra tá um frio do krlo",1
"@user @user @user Não só teve, o encontro com o povo baiano, como foi apoteótico...Show ! O Presidente é um cara retado...👉😎🇧🇷💛💚💙",0
@user eu vou passar o dia inteiro ouvindo as conversas inteligentes de vocês sim,0
rt @user então é isso. o autoritarismo nem é mais disfarçado. fim.,0
rt @user é foda ser o patinho feio do grupo hein https://t.co/vyuym4qlwm,0
rt @user quero foder,1
"rt @user todo mundo sabe o que é certo e o que é errado, vacila quem quer 🚩✌🏾",0
quem viver verá esse senhor jogar no lixo a única chance que a vida lhe deu de fazer algo descente pelo país.,0
Homem não cansa de passar vergonha ne. O cara tem a cara de pau de dizer pro meu colega que acha que eu to afim dele pq eu olhei pra ele... Autoestima invejável... Ou apenas demência mesmo.,1
@user @user e olha a dm porra,1
@user claudio!! é muita emoção para um único dia!!,0
"De vez em quando a escola é um lugar bom, só o professor de matemática torceu o nariz, de resto fui bem recebida por todo mundo, todos fazendo questão de ajudar. Filho custa caro, gentes ❤️",0
"atualização de mulherão da porra foram atualizadaaaaa 

quantos rts essa deusa merece ?#nowunited #mpn #uniters https://t.co/mibzvfg288",1
"rt @user se não tomarem providências, entenderemos coniventes com a barbarie a se instalar em nosso estado. https://t.co/6nnec0jrwx",0
infelizmente kkkkk,0
"Tá eu aqui na oficina e os cara da loja do lado começa a olhar pra minha moto, aí do nada o maluco pega e sobe na moto e pede pra tirar uma foto kkkkkkkk",0
Em entrevista para uma rádio @user disse que adoraria um feat com @user para o seu próximo álbum #MTVHottest Little Mix https://t.co/kOXEyQiQi5,0
"@user @user @user O babaca do diretor do INPE queria colocar todo o aumento desde 2017 a 2018 na conta do Bolsonaro com apenas 6 meses! Tá certo isso? O Min. Ricardo Salles e o Bolsonaro não negaram aumento, mas apenas questionaram a culpa do Bolsonaro, como o imbecil queria dar entender que era!",1
eu quando vejo algum v*tt*rl*v*r na  tl,0
"amigos que amam minha comida, é pq não comeram a da minha irmã ainda... puta que pariu 😍🥴🤤",1
"“EU SOU FORMADO EM LETRAS, HISTÓRIA E INGLÊS(E VOU COLOCAR MEU CURRÍCULO DE ESPANHOL NO IFMA) . JÁ DEI AULA EM BARREIRINHAS, CHAPADINHA, SANTA QUITEIRA E O CARALHO A QUATRO.
JA FUI PROFESSOR DE RECURSOS HUMANOS E ESSA FOI A ÚNICA TURMA A FALAR QUE NÃO SEI DA AULA.”....",1
"rt @user gosto de prioridade, segunda opção vc enfia no seu cu",1
o frio desgraçado que tá e eu ainda vou pra jundiai hoje nesse frio,1
"Pessoal está aqui um enorme trabalho de um miúdo que leva isto com tudo o que tem, orgulho enorme nele
Vejam aí o trabalho dele e aproveitem para demonstrar todo esse love que vocês conseguem dar 💕💕

Young Drip - Punjabi (Vídeo Oficial) https://t.co/xHF7QEFyKW via @user",0
@user amém!,0
"rt @user olhaaa quem apareceu! que lindo!

paulinha na fab https://t.co/b1ovtbhkys",0
rt @user de vcs é 90% mostrando o cu crlh https://t.co/alwcv3hfjy,1
"""ela me olha e vê um banco...""",0
mas se eu deixar o twitter vou ter q ficar no instagram e o instagram eh o cúmulo ou seja : vou me mata,0
"@user para de mentir e querer falar bonito joãozim, fala que é pq nois enjoa mas tem preguiça de terminar ai deixa essa responsa pra elas",1
"ainda bem que eu não fui hoje pqp imagina ficar menstruada lá encima da serra, nossa e toda aquela água e eu n uso interno e nem ia tá preparada",1
"tem tanta opção de role hoje, n sei pra onde vou, no final vou acabar não indo pra nenhum",0
"prr, todo dia uma dor diferente, vai se fuder",1
rt @user este ano só dá verde 💚 https://t.co/gmlogzvszd,0
@user deu mó pena viado,1
"@user a ideia é boa afinal um grupo cheio de cristais lapidados é ótimo mas todos eles já são ocupados demais, não é possível que a sm queira mais um processo",0
@user pqp kkkkkkkkkkkkkkkkkkk,1
@user @user deus me livre vai que eu me apaixono né,0
"@user d outro planeta nd, vc eh mongol msm",1
"rt @user de tanto stories que eu vi, eu já conheço mais porto seguro do q o próprio pessoal que viajou pra la",0
"meu tio acabo de manda um ""mas o nazismo só existiu pq os alemao sao burro"" 

aiai",1
"rt @user eu tbm kkkkkkkkkkkk
hariany na vamos https://t.co/cdwekjvsns",0
@user o estadão é o jornal mais fake do brasil. https://t.co/4fpcsqj1bj,1
"começo de sábado tendo que aturar fã de político, vai tomar no cu",1
@user cocô instantâneo é mais burro do que imaginava.,1
rt @user até agora eu não entendi a graça disso. corpo toda mulher tem. https://t.co/ha47ycgdzj,0
quando eu comprar um desses eu vou ficar nojenta,0
@user @user @user obrigada trump...sucessos,0
"ah, fds a porra toda também",1
canalha!,1
"@user No outro, ele devia te mandar encher o saco do Presidiário e deixar ele trabalhar em Paz. Fora Comunista!!!!
#NasRuasContraSTF",1
"@user claro que queixo, o combinado era entrar hj e não na segunda né deals são deals",0
esse homem não pode ser real https://t.co/tyks6r4fq3,0
"@user @user ministro Barroso só quis te avisar pra comprar uma pomadinha, vem rola em direção ao seu fiofiozinho. Pensou que STF ia defender o intercePT?",1
mesa de ferro fudido,1
"tubarão x str29, jogasso da porra",1
"@user tristeza kkk um bairro aqui de poa 
 não me toque  kkk",0
bom dia do singed fudido de febre,1
"@user @user Eu como morador da terra do meio no Pará e conselheiro de 2 UCs, posso falar com segurança que os dados do Inpe, realmente estavam sendo manipulados por ativista travestidos de cientistas pra prejudicar a imagem do governo Bolsonaro! Ontem o ministro Salles provou isso!",1
falsa https://t.co/0ybdbutlod,1
rt @user @user @user esse daí não precisa de cpf para falar com o pica sonsa.,1
@user @user @user as suas notícias que são questionáveis,0
perceber que vc está triste para agradar alguem é um lixo,1
"enquanto ouver lingua e dedo, não a puta que meta medo",1
"rt @user amiga é o caralho,amiga de cu é rola",1
"rt @user sou carioca nunca fui no cristo, nunca fui assaltada e nem comi a batata de marechal https://t.co/vaujt9dut0",0
"@user https://t.co/xynuruictw
é celaaaaaaaaaa",0
@user essa foto eu to mortaaa,0
"Vocês são incríveis! O que fazemos quando atingimos a meta?? Isso mesmo, dobramos a meta!!!

DOIS MIL comentários nesse Tweet com as tags! Chamem seus amigos para votarem também!!!

 #MPN #NowUnited #Uniters",0
@user tu tinhas um glow diferente,0
"rt @user o daniel alves trôxe internet p morumbi?

do nada um mont de saopaulino online",0
"@user cassiane,cassiane, quanto mais vejos teus post, mais sonho com a possibilidade de conhecer vc, afinal sonhar não custa nada.",0
"rt @user so preciso do meu silicone, bichectomia e rinoplastia o resto juro q corro atrás",0
"Gente parece mt alguém q eu conheço e minha cara fica assim msm igual a dessa mina ai, mano exxxxxxquece, mt bom ser pega de surpresa assim kkkkkk 😍 https://t.co/dWf2NOOjCY",0
"@user +ministério das relações exteriores: poucas vezes eu vi alguém tão burro quanto o Ernesto Araujo na minha vida ""aquecimento global não existe pq eu fui à Roma e senti frio"", ""vamos combater o Globalismo""",1
@user se o bandido e covarde ustra tivesse vivo com certeza seria nomeado para esta comissão.,1
adolescente tem que acabar,1
parece que sim hmkk,0
@user fui ver essa porra c as meninas e falei “gente duvido que eu vou chorar” kkkkkkkkk na metade do filme eu já tava soluçando,1
"final da libertadores, brasil x argentina já to até vendo 😂😂",0
"Ficção ciêntífica tornando-se realidade diante dos nossos próprios olhos...""Doidera""

Cientistas conseguem desenvolver ser híbrido entre humano e macaco https://t.co/N60or45EjR",0
tem um casal sapatão no metrô 🥰🥰🥰🥰🥰,1
só não olha tudo rs 😴🤤🤫🔞 https://t.co/pku90ybzyn,0
QUATRO PAÍSES EUROPEUS JÁ QUEREM INVESTIR NO NORDESTE: João Azevedo se reúne com governadores da região e com embaixador francês nesta segunda-feira - Polêmica Paraíba https://t.co/pC0vPgp0bM,0
saudades dos amigos de sp mds pqp,1
eu aí gay putinha aborteira rs,1
hoje deu vontade de abraçar minha mãe e chorar o dia inteiro 😔 tpm seja bem vinda.,0
"mas nem me diga q essa responsa eh minha
eu comi aquela vaca usando 2 camisinha",1
rt @user mano sla parece que a vida de todo mundo mudou muito e mto rápido tbm e eu fiquei parada no tempo  ???¿¿,0
eu falando com a moça do laboratório: po mano marca esse bagulho aí pra mim mesmo.... desliguei de tanta vergonha,0
kkkkkkkeu amo essa história pqp ainda bem que vendi minha alma pra entrar no cefet,1
@user vo nada não faz eu duvidar da minha capacidade kjjkkkkkkkkkkk,0
"olha essa porra, pqppp https://t.co/etvuqgurgp",1
"esse final de semana não quero sair pra lugar nenhum, vou ficar em casa 😴",0
@user trabalhando nessa intenção prima,0
"@user Pannunzio, sabe o que é analfabetismo funcional? O ministro se referiu ao mural em si e não ao Paulo Freire ser feio.

Você tenta lacrar, mas não sabe nem interpretar texto.",1
rt @user a segunda foto esta qualquer coisa 😮 https://t.co/zkp1effeuk,0
vontade de sentar em posição fetal e chorar,0
ret djonga e dela junto é só fado pqp,1
rt @user ridículo https://t.co/ffdweogrhs,0
rt @user to travada nessa bunda https://t.co/f74abvabnp,1
"@user +120 ama comida japonesa 
+20 tem piercing 
+80 mora em condomínio 
+10 tem iPhone
+50 tem tatuagem  
+30 fala mais de 2 idiomas 
+15 mais de 18 anos

tenho piercing, tenho iphone e falo mais de 2 idiomas &lt;3",0
@user parabéns ótima palestra.,0
"@user Governar que é bom nada,o Brasil afundado em uma crise enorme e o presidente com essa agenda ridícula de passeio , não quer trabalhar saia ,deixe outro trabalhar pelo nosso país !!
#ForaBolsonaro",1
"Tudo a comentar que o que importa é personalidade e só tenho a dizer que vocês são uns cu doce
Personalidade importa mas vocês nunca vão estar com alguém que não achem atraente lol
POUPEM-ME https://t.co/Fk3QROmvjN",1
@user mano eu to com o cllr na caxinha de som e abri esse video na mo inocencia pqp kkkkksksksksksksks,1
"@user sim, não quer mais nada?",0
hoje me tornei paulista: comi pastel na feira,0
rt @user @user marrinha de parar mercado kkkkkkkkkk,0
"rt @user mano tenho que pensar mais em mim, eu faço de tudo pra ver a galera feliz, e o povo não move uma palha p me ver bem aaa v…",0
"@user eu fico vendo isso e penso ""desvantagens do k-pop esta sendo cada vez mais difundido"" o millenium americano ta tão acostumado com gente que não dança e perfomances sem coreografia que quando veem dança de verdade e sincronia fica bugado",1
"rt @user nao liga pra esse pessoal q tá falando pra vcs apagarem, eu gosto de ver vcs passando vergonha https://t.co/zhfwfzko4g",1
@user infelizmente,0
"vamo c calma mo

nosso filho vai usa nike ou adidas",0
tantas promessas para nada,0
"@user @user @user @user @user @user @user @user @user @user @user @user Uma das Mulheres que mais Amei Conhecer 😍

Linda e Fascinante!

Estar ao seu lado, é um Momento Único e Inesquecível",0
@user que não de ano 5º sacudindo minion gui john o so par de mim quinta e hum john john cu bts,0
"aceitem que noart é só amizade, nada além, único shipper que pode ser real e beauany, não tô proibido de shippa noart mas ficaram jogando hate pra ela por infantilidade, quem aguenta meu pai? https://t.co/oNxyDfCPsT",1
@user putinha dois amantes,1
lembrando do dia q fui furar e a mulher disse q minha orelha é feia,1
eu ia saber de que bala tu tava falando frequentadora da yes,0
eu acordando no meio da noite de pau duro,1
rt @user pra namorar comigo tem que entender que eu tenho esse espírito safado ao mesmo tempo idiota https://t.co/mi9ovnvx3e,1
@user o que o senhor tem contra esse branquelo que vos fala?! kkkkk https://t.co/w9mwt6ig58,1
"@user aqui em casa, amiga? kakak",0
"rt @user quando éramos crianças, chorávamos bem alto para chamar a atenção. hoje, choramos bem baixinho para não ter que explicar…",0
"@user foi o que sobrou. imagina o cousins voe e ele e o derozan para no atlanta? pqp, ia ser um timaço.",1
@user buceta pq vc tá chorando?,1
"Teremos dois duelos brasileiros nas quartas de final da MAIOR COMPETIÇÃO DE CLUBES DO MUNDO!! LIBERTADORES: 

🇦🇷 RIVER PLATE  X 🇵🇾 CERRO PORTEÑO 

🇪🇨 LDU x 🇦🇷 BOCA JUNIORS

🇧🇷 PALMEIRAS x 🇧🇷 GRÊMIO 

🇧🇷 FLAMENGO x 🇧🇷INTERNACIONAL https://t.co/hnTfgstsYl",0
"os irmãos da maria me mandando áudio ""eu sei q tu gosta da gente, vem aqui q eu quero te ver menina"" hshdhshsh que amor",0
rt @user vai tomar no cu,1
amor é quando vc olha na tua namorada e ja ficas tezo ❤,0
"eu tava com tanta saudade desse jogo que tive que fazer um char desde o início, vsf eu amo demais esta porra https://t.co/bhz1a0v12m",1
"rt @user ""nenhuma arvore pode crescer até o céu sem que suas raízes desçam até o inferno.""",0
@user essa merda mexe se bue bem fdss com um gordo como tu la dentro ainda,1
@user @user @user @user kkkķkkklkkkll morro com honra no pau de arara mas não peito pra fascista filho da puta igual q vc,1
"Não tem como dar errado , sucesso a frente , população feliz , esquerda frustrada e sem discurso !! 50 anos pisando neles , dessa forma , eles não voltam mais , novas gerações bem educadas e sem militância política nas escolas !",0
"começamos a assistir pica - pau com o andré e infelizmente a gnt teve q parar pra aula , mais foi muito massa kkkkk todo mundo concentrado",0
rt @user não consigo perceber quele pessoal que fica a noite inteira a ver os outros a andar https://t.co/tjc3fhyyyc,0
@user mano eu pensei demais nisso vamo? aaaaaa,0
"O que ela faz com o corno não chega aos pés do que ela pede pro amante...
#corno #namoradaputa #hotwife #esposasafada #cuckold https://t.co/f5Mpzzt85o",1
aliás 15h e ainda sem almoçar,0
rt @user @user só falta as roupas kkkkkkkkkkk,0
"@user garota????? e tem hora???? 

só sei que to ouvindo e puta merda",1
@user @user tesão que delícia de cacete peludinho 😍😋🍆🙈,1
"crlhh,eu e minha mania de sair de chinelo pqp..tá chovendo p crlh",1
"@user leiam antes. calma, não estou me posicionando a favor nem contra, mas leiam.",0
"@user @user Todo dia é uma bofetada do STF em nossas caras, isso sim! 
#STFVergonhaNacional 
#NasRuasContraSTF https://t.co/fsoVvKPQTW",0
entendam uma coisa!!,0
"mn eu amo tanto minha mãe kkkkk
agitou um shopping do nada pra eu ver rei leão,aaaa🤞🏽❤️",0
@user @user hahahahahahahaha não é fácil ser sapatao,1
"@user ah mano, não é possível
entrega grátis ainda pqp 
preciso desse lugar na minha vida hahahah",1
"@user minha cidade natal, ponta grossa!",0
agora tenho fama de comedor de traveco por causa do filipe trielli,1
rt @user o nome disso e @user  porra .. sexta q vem meu aniversario hoje so acaba 12:00 https://t.co/k7zxgcoa5z,1
"ótima ideia!!! 
🤣🤣🤣🤣🤣🤣",0
"jesus venceu no deserto e 
adão fracassou no paraíso.

não é o lugar, são as escolhas!",0
rt @user boa noite pra quem tem os dois melhores laterais do futebol brasileiro. https://t.co/a8bkcydgng,0
esse cara é muito sem noção pqp,1
"@user porra, fiquei 10 minutos no trânsito kkkkkk",1
"Papo reto aqui
Se você usa ou pensa em usar isso aqui como argumento a favor do aborto, saiba que você é L-I-X-O, ideias comparáveis as de Hitler 

Pra você é melhor e mais fácil evitar que pessoas pobres (geralmente minorias raciais) nasçam do que diminuir índices de pobreza https://t.co/69516EvKPV",1
rt @user paga de apaixonada no wpp e no tt é a brabona kkkkkkkkkkkkkkkk🤮,1
minha orelha chora por um piercing novo,0
"o nosso amor era pra ser pra sempre, você sabe disso... aonde foi que a gente errou, me diz onde foi que quebrou e se ainda tá na garantia...",0
o vôlei feminino ainda vai me matar do coração porra muito bom,1
@user o desespero é total ... https://t.co/fgbkx9un2b,0
e meus amg funkeiro vem como?! kkk,0
"rt @user gente boa demais só toma no cu, eu tenho que aprender isso",1
"vasco tá dando varias oportunidades para os meninos do patativas, muito maneira essa atitude 👏🏼🙏🏼",0
tô fazendo um desenho da cersei e espero que esse preste.,0
@user @user alguém já te falou que você é feio pra caralho?,1
@user @user anão mané kkkkkkkkkkkkkkkkkkkk,1
teresinha e merda a mesma coisa odeio ela caralho,1
la casa de papél vicia mesmo rs,0
rt @user odeio esperar pqp,1
saiu foto do meu bebê vou surtar,0
"craque da rodada domingo, classificação heróica na quarta e hoje esse presentão. que semana pro rafinha 👏🔴⚫💪",0
@user bolsonaro se vingou da globo ???? essa folha de são paulo é um lixo mesmo ! 😀,1
compromisso tá ai vou ter que mudar a rotina,0
"@user @user Aconteceu isso com um amigo, só q o v-bucks não descontou da conta dele e depois q ele tentou o jogo tava pedindo 29,50 pra mandar o passe",0
"Especula-se, que McConaughey possa assumir o papel do vilão Norman Osborn e seu alter ego, o Duende Verde no terceiro filme do Homem-Aranha interpretado por Tom Holland, ainda mais que o personagem é um dos inimigos principais do Aracnídeo. 

(+) https://t.co/LB0ArYBjXl",0
"@user @user @user kkkkkkkkkkkkk eu ate sei quem é, retardada",1
"@user @user NA A FAZENDA 11 É UMA ÓTIMA PARTICIPANTE, JÁ MOSTROU QUE NÃO VAI PRA REALITY SHOW PRA DORMIR. BASTANTE POLÊMICA MERECE ESTAR NO ELENCO DESSE ANO!
@user @user
#VemAíAfazenda #BruxinhaNaFazenda https://t.co/MfEhfQwS30",0
"@user dani alves e juanfran o caraio, o negócio é tem pará e vitor ferraz na ld, respeita kakakakaka",1
"gato  perfeito, meu webnamorado perfeito, lindo demais, amo seus poemas",0
então quem desempata? https://t.co/xlfcorerpq,0
@user migo uma das coisas vai dar mto ruim pra mim mas eu quero e a outra só falta coragem mesmo pq vontade não,0
"GAROTA VC É PERFEITA ENTENDA, essa au é maravilhosa, eu curti cada segundinho junto dela... parabéns pelo trabalho, você é maravilhosa!",0
olho essa foto e lembro das vezes que eu nunca fui bonito cm esse filtro hahahahahahaha  doa um pouco da beleza ai parça!!!,0
"#naoaosdesmandosdostf 

vamos às ruas agora!!!",0
reconhecer o próprio erro é coisa de gente grande https://t.co/0xgrbetady,0
"@user Medalhista né kkkk 
Tem mais experiência

Porém eu gostei dessa mudança , o Roberto saturava muito a Roberto e sempre que a macris entrava dava mais ritmo no jogo 

E agr macris titular e só sucess",0
"essas minas da república dominicana são lindas, puta merda",1
@user porra n separa mesmo nao pq mds essa cachorra loca,1
esses vascainos são uma piada kkkkm,1
@user vai se tratar criatura asquerosa!,1
t amo filho 💖💖💖🐢 https://t.co/zaqld25c2b,0
"@user bah entao tu imagina com, vou ficar quase tão linda quanto tu",0
tem tanta gente que eu queria mandar tomar no cu,1
"@user tu vai me fazer sair de casa nesse frio p ir te ver, trate de ganhar essa porra pelo menos",1
"rt @user si eu pego essas menina eu dou tanta ripada mano, vai ficar feia para de fofoca tmnc",1
"@user como diria walter abrahão......"" ta gorrrdo o milton neves hein""",1
"@user @user #nasruascontrastf
#stfvergonhanacional
#foraglobolixo
olha isso ai dragão https://t.co/1ybsoa95gh",1
@user os comentários dele são tão absurdos que deve ser fake.,0
"Geeente me ajuda!!!
Retweet isso por favor só pra ter 
um alcance 
Se quiserem compartilhar no Facebook o link https://t.co/dRGKlOZ8Nt https://t.co/hB58b08siN",0
rt @user e eu que não precisei ter um boi p ter chifre https://t.co/i6uw2ln6ha,0
preciso terminar a minha maratona marvel antes do fim das férias aaaaaa só faltam oito filmes,0
@user boiola😔😔😔,1
@user kkkkk vc não merece babaca caia fora isso que ele disse ao menino ney,1
eu sou ansioso e não me sabia '-',0
rt @user não sei se agradeço ou não por terem colocado esse minhyuk de volta na minha timeline 🥺 tão lindo que machuca https://t.co/…,0
